Date,Price,Open,High,Low,Vol.,Change %
11/14/2025,185.07,184.34,192.8,183.58,1.91M,-0.79%
11/13/2025,186.54,185.9,188.8,182.59,1.70M,-0.02%
11/12/2025,186.58,194.89,195.23,186.43,1.80M,-4.26%
11/11/2025,194.89,192,196.4,186,3.04M,1.08%
11/10/2025,192.8,202.79,203.77,190.1,3.33M,-4.18%
11/07/2025,201.21,191,202.09,189.5,4.34M,3.86%
11/06/2025,193.74,194.24,195.99,182,13.06M,-25.49%
11/05/2025,260.02,262.78,268.97,260,3.81M,-0.77%
11/04/2025,262.04,261,268.01,257.29,1.44M,-1.09%
11/03/2025,264.93,278.82,279.98,260.4,1.32M,-2.11%
10/31/2025,270.64,267.05,270.86,259.71,1.43M,2.98%
10/30/2025,262.82,272.59,277.49,262.3,1.22M,-3.64%
10/29/2025,272.76,290,290.34,272.21,2.33M,-7.19%
10/28/2025,293.88,307.1,309.24,293.51,1.04M,-4.19%
10/27/2025,306.73,317.35,318.84,305.16,980.79K,-1.69%
10/24/2025,312,318,322.09,311.12,731.90K,-0.46%
10/23/2025,313.45,303.76,317.6,303.76,567.80K,1.91%
10/22/2025,307.57,318.95,320.35,301.74,850.47K,-3.16%
10/21/2025,317.61,312.48,325.93,311.35,967.77K,1.56%
10/20/2025,312.73,326.02,328.53,304.23,1.51M,-3.48%
10/17/2025,324.02,326.01,334.29,322,828.66K,-1.98%
10/16/2025,330.56,340.59,343.25,320.21,1.85M,-3.08%
10/15/2025,341.08,334.03,344,333.33,744.87K,2.55%
10/14/2025,332.6,323.82,336,320.63,801.78K,0.79%
10/13/2025,330,330.16,331.64,323,775.59K,1.54%
10/10/2025,325,340.45,347.6,323.11,988.38K,-3.62%
10/09/2025,337.19,348,353,332.21,1.27M,-2.90%
10/08/2025,347.27,321.55,350,320.6,1.59M,8.53%
10/07/2025,319.98,321.22,323.57,314,812.21K,-0.10%
10/06/2025,320.31,322.63,330,315.48,1.60M,-0.72%
10/03/2025,322.63,315.55,330.33,315.34,1.39M,3.08%
10/02/2025,313,304.01,313.3,299,1.47M,3.06%
10/01/2025,303.72,320.57,322.05,293.03,2.35M,-5.63%
09/30/2025,321.84,331.2,332,312.09,1.77M,-2.11%
09/29/2025,328.78,320.08,336.22,314.68,1.74M,0.73%
09/26/2025,326.39,311.84,327.71,309.79,1.60M,4.11%
09/25/2025,313.49,295.58,315.2,294.45,1.66M,4.09%
09/24/2025,301.17,302.06,304.24,293.83,1.35M,0.56%
09/23/2025,299.5,305.46,305.48,293.5,1.45M,-3.18%
09/22/2025,309.34,289.45,310.92,288.54,1.96M,6.34%
09/19/2025,290.9,290.3,291.48,285.46,1.53M,0.42%
09/18/2025,289.67,283.75,291.24,281.64,1.34M,3.76%
09/17/2025,279.16,267.79,281.94,264.85,2.25M,-0.56%
09/16/2025,280.74,289.5,296.8,271,2.30M,-1.53%
09/15/2025,285.11,308,309.99,284.68,2.13M,-7.40%
09/12/2025,307.91,314.25,319.68,300.5,2.17M,-0.46%
09/11/2025,309.34,296.22,315.48,291,3.79M,8.19%
09/10/2025,285.91,274.1,286.83,272,2.06M,4.54%
09/09/2025,273.49,272.16,287.5,256.63,3.37M,0.81%
09/08/2025,271.28,265.83,276.49,264.82,1.49M,0.04%
09/05/2025,271.18,273.25,273.3,263.68,1.83M,-0.56%
09/04/2025,272.7,275.13,278.28,267.39,2.48M,-3.47%
09/03/2025,282.52,286.44,292,277.24,1.74M,-2.57%
09/02/2025,289.98,291.24,298.42,287.21,1.46M,-2.65%
08/29/2025,297.86,319.78,320.05,293.66,2.28M,-7.72%
08/28/2025,322.78,317.22,325.9,316.28,730.46K,1.53%
08/27/2025,317.93,317,324.4,316.03,1.20M,0.60%
08/26/2025,316.02,321.39,322,307.81,2.17M,-1.69%
08/25/2025,321.44,331.83,339.49,317.19,1.43M,-3.14%
08/22/2025,331.87,343.95,355,329.35,1.96M,-3.95%
08/21/2025,345.52,336.58,346.91,331.45,1.32M,1.96%
08/20/2025,338.88,338.28,340.75,322.71,1.34M,-0.52%
